90,"🎁 #CONCOURS 🎮❤😍🏆⭐ : Pour bien démarrer la semaine :)
RT &amp; Follow pour tenter de gagner @ImmortalRedneck sur #XboxOne
Tous les détails ici : https://t.co/eetmQCoSZS https://t.co/pmd1BLDJRp"
91,Ce psychologue canadien est devenu le nouveau héros de la droite conservatrice américaine. https://t.co/j6b9gbVMea
92,https://t.co/kJp9LoHCxp
93,"""mais ça fait tjrs plaiz de bz un inconnu"" Kévin 2018.. (absolument pas sortie du contexte 😏🤣)"
94,https://t.co/xhQjyXVeMM
95,"3/11 Dans son immense courage, Monsieur @laurentbouvet a lancé une campagne de #cyberharcèlement contre la présidente de @l’UNEF. Un déferlement de haine #raciste, #sexiste et #islamophobe, à l’image du @printempsrepub et de ses représentants. https://t.co/pmSFvAJVKW"
96,"2/11 Une fois n’est pas coutume, @laurentbouvet le @printempsrepub ont décidé de s’attaquer à la présidente de l’@UNEF Paris IV, Maryam Pougetoux parce-que #musulmane et #voilée."
97,"1/11  Nous demandons l’exclusion immédiate de @laurentbouvet du Conseil des sages de la laïcité et du Conseil scientifique de la @DILCRAH. Ses prises de positions #racistes, #sexistes, #islamophobes et l’incitation au #cyberharcèlement sont incompatibles avec des resp. publiques."
98,"Après les personnels du Samu de Strasbourg, un autre petit malin fait circuler le numéro de portable de la syndicaliste de l'UNEF. L'appel au harcèlement érigé en méthode de justice populaire, voila encore un bienfait des réseaux sociaux..."
99,"#ConsultationDesMusulmans Musulman/es, la parole est à vous. Ça change hein 😁?
Vous et vous seuls êtes légitimes pour savoir ce que vous voulez.
Ça n’est ni Gilles ni Haïm ni Gérard ni Manu qui vont décider - avec mépris - pour les musulmans et sans eux 
https://t.co/DmSGccpZ8A https://t.co/fSA0qcd7Mm"
100,"Ces ordures ont embarqué leurs enfants pour s’en prendre à des fidèles en prière dans des églises.
Parents fils de 16 et 18 filles de 9 et 12 ans ! 
Mener volontairement à la mort ses propres enfants pour qu’ils la sèment contre des innocents

Ordures !

https://t.co/i9iiyjEgz9"
101,"Oui je soutiens fortement la #ConsultationDesMusulmans pour une raison simple: on demande à TOUS les musulmans leur avis et tous ceux qui se disent/pensent musulmans sont invités à le donner

What else ? Un espresso ☕️ (un vrai, un italien, sans sucre)

 https://t.co/1QyKXpc4Qt"
102,"#LaQuestionLGF 

Ce mercredi,@_MarwanMuhammad  a lancé une grande #ConsultationDesMusulmans. Il s’agit de connaître le sentiment et les idées des Français Musulmans quant à poser les bases d'une représentation en partant d'eux mêmes. 

Soutenez-vous cette initiative ?"
103,#Islamophobie : des tags près de la mosquée de Lieusaint (Seine-et-Marne) https://t.co/qc6urqHsJA via @Algerina_Jolie
104,"Ah ouais carrément ! Parce qu’elle est musulmane et qu’elle porte un voile 🧕, Maryam Pougetoux SOUILLE les luttes menées par l’UNEF, syndicat universitaire. 
Souille
Car musulmane
@laurentbouvet jouit de lire l’esprit de Drumont se répandre ainsi grâce à lui via l’autre has been https://t.co/mOeVCjkhat"
105,Début ramadan : le CFCM se réunira mardi 15 mai au soir https://t.co/8MYFicSVh9 via @AlKanz
106,"Pour la cinquième année consécutive, les hashtag apprêtés pour #ramadan vont accompagner les gens du Twitter pendant un bon mois in sha’a-Llah. 
C’est bien agréable. https://t.co/u49STvXDMO https://t.co/Hoxo5KJvAz"
107,"Mais au fait pourquoi cette #ConsultationDesMusulmans ? 

@_MarwanMuhammad répond en 2m20 ⤵️ 

https://t.co/u3jPIaCADM https://t.co/QUdnrg3swm"
108,"Mais Ras le bol de ces personnes qui nous emmerdent à longueur de journée avec leurs problèmes métaphysiques. La france a des coutumes, des moeurs, des manières de s'habiller, ça va pas = DEHORS !!! https://t.co/UfDZfJTHnW"
109,"#Wauquiez adopte la même stratégie droitière (mais anti- #fn) que Sarkozy, mais avec 10 ans de retard...

➡️ Il perd la confiance des sympathisants LR qui ont compris que l'avenir de la France passe par l'#uniondesdroites

https://t.co/OystOZUrfl"
110,📅 Je serai ce samedi 19 mai à Lux en Saône-et-Loire avec @JFJalkh pour notre 1ère réunion organisée dans le cadre de la tournée du Bureau National du @FN_officiel. Nous présenterons notamment les objectifs de la refondation et du changement de nom. #RassemblementNational https://t.co/p0SqvTJ0Mk
111,1000% d’accord! https://t.co/1JjfFrS6Y8
112,"🆘🖕🏾☪️🖕🏾☪️🇫🇷🇫🇷🕌🖕🏾🕌‼️79% du français considèrent le voile islamique en opposition aux valeurs françaises 🔥
J’espère qu’ils s’en rappelleront aux prochaines élections ‼️ https://t.co/BJn3luTitc"
113,"@jylgallou @Conseil_Etat @DamienRieu @jdcattin Pour avoir plaidé pour un policier patriote fiché S, devant le Conseil d'Etat, je doute fort que cette noble institution protège encore les libertés publiques."
114,"🛑 Encore une fois, l’actualité tragique nous donne raison. Avec le @FN_officiel demandons l’expulsion des fichés S étrangers ! Signez notre pétition 👉🏻
https://t.co/AJxet5I1Hf"
115,"Face au terrorisme, il est temps d’agir ! Les mesures du @FN_officiel https://t.co/i6BRihHzpe"
116,Soutien total à @laurentbouvet attaqué parce qu’il dénonce les infiltrations islamistes et tristesse de voir sombrer dans la réaction un syndicat qui se dit féministe https://t.co/cW72dhI0A3
117,"Ce soir, #PolonyTV et @Causeur collaborent pour vous proposer une nouvelle émission de débat : #DroitDeQuestion

@basiledekoch sera face à @NPolony et @ELevyCauseur pour répondre à la question : ""LA GAUCHE A-T-ELLE UN AVENIR ?""

RDV ce soir 20h en #LIVE sur #Facebook et #Twitter https://t.co/VkZ7I8WEHB"
118,"«pas de moyen pour empêcher ce type d’événements» quel aveux de faiblesse criminelle.
A quoi servent les politiques s’il n’y a rien à faire? Pourquoi il n’y a pas d’attentat islamiste en Pologne ou Hongrie ? Doit-on par exemple loger, «accueillir» ou naturaliser comme on le fait? https://t.co/xAcnPQ22xI"
119,Les attentats annoncent le Ramadan comme les hirondelles le printemps... https://t.co/PtLyde1a3L
120,https://t.co/OhnTxrKySt
121,"@JLMelenchon Et il doit condamner aussi les massacres en Indonésie ?
Rien à ce sujet Jean-Luc ?
https://t.co/iuKc41lGSF"
122,Gaza: une meute de 100 000 islamistes tentent de forcer la frontière pour commettre un carnage dans les villages avoisinants. https://t.co/hn4Biou3iL
123,Attentat de la rue Monsigny : l'ami de Khamzat Azimov a été transféré au siège de la DGSI https://t.co/tsin8UOxaj https://t.co/1PD4mUiZZf
124,"Plus je regarde cette photo , et plus je m’inquiète 
pour ce personnage et surtout pour la France 🇫🇷 ! https://t.co/250lbbqrCB"
125,"Pour rappel géopolitique : les islamistes radicaux prônent un totalitarisme raciste qui assassine non pour ce que ses « ennemis » font mais pour ce qu’ils sont. Notre modèle laïc, démocratique et républicain les exaspère. Défendons-le !"
126,"@frere_kosmo @MamieProut @chris_cemoi @SansTweetFixe @ZinaElric Mais mon cher quand un bulot me sort un inch'Allah qui n'a rien à foutre dans la discussion je me permets de me foutre de sa gueule justement en recopiant ses conneries. Gardez surtout vos conneries religieuses pour vous. Si un tweet ne vous plait pas, allez sur d'autres."
127,"@13Marseyes @chris_cemoi @SansTweetFixe @ZinaElric @MamieProut MDRRRRRRRR Islamophobie mdrrrrrrr
D'autres en font leur fond de commerce. https://t.co/pt9VIWFtkH"
128,"BREAKING: Accord Borussia Dortmund - Lucien Favre pour un contrat de 2 ans, avec 1 année supplémentaire en option. [funke-sport] https://t.co/hIlUdbZSTo"
129,@asaintmaximin qui n'est pas musicien mais fait bien danser les caennais (et lever le stade). 🔞 Éloignez les enfants @SMCaen @SMCaen @LaCaencaneuse #OGCNice #OGCNSMC https://t.co/dJsLcoqmqH
130,"Malgré l'interdit, les fans stéphanois débarquent pour assister au match Monaco - Saint-Etienne
https://t.co/DtX2xHDyVF https://t.co/rtOHQ10e73"
131,When you get the chance to have a photo with Arsene Wenger but you hit the wrong button 😂😂😂 https://t.co/o4hNqmGzq1
132,"@alexmefi Mon idole, un de ceux qui m’ont fait aimer le Gym ! Quelle classe il avait sur un terrain."
133,"🔥 Selon @PremiumSportHD, les négociations entre #Balotelli et la #Roma avancent bien. 

Mino Raiola aurait garanti 10M€ à #OGCNice pour la dernière année de contrat de Super Mario #mercato #OM #mercatOM https://t.co/26rCBK6F9u"
134,@alexmefi Pas mal la photo ! 😉
135,"Les #Palestiniens sont en train de se faire massacrer par la racaille #sioniste. 41 morts civils et 900 blessés depuis ce matin ! 
La France est complice de ces massacres ainsi que l'Union européenne qui ne fait rien.
#Trump https://t.co/AUEuHUDjZN"
136,"Première rencontre entre Nikol #Pashinyan et Vladimir #Poutine à Sochi en #Russie 

#Armenie #Armenia #Russia 🇦🇲🇷🇺 https://t.co/J3rr1c2eyY"
137,#Eurovision https://t.co/7bOCcfm5In
138,Illusion d'optique : la grille de Kokichi Sugihara de l'Université Meiji au Japon https://t.co/1LAQ3DBq7T @Rainmaker1973 https://t.co/S7aAM9kJSZ
139,"Ça ruisselle, ça ruisselle .... https://t.co/g5zyrcMtmh"
140,"Vladimir Poutine sur les terroristes tchétchènes : ""On poursuivra les terroristes partout. (...) On les butera dans les chiottes.""
En France, c'est différent : on va les chercher dans les chiottes et on les y naturalise. https://t.co/1SsD4sx429"
141,"Merci de partager un maximum pour connaître l'opinion des Français.

Selon vous, quel président a fait le plus de mal à la France ?"
142,"Ah les crapules ! J'en étais sûr ...
Ils sont PARTOUT, les mecs ... https://t.co/LAN6qwgx3a"
143,Le contraire du MACRONISME https://t.co/qhNYswqUj7
144,"« En tant qu’expert, si je peux aider... » https://t.co/VsEdH5xHZs"
145,"Le Canard Enchaîné rapportent depuis des semaines que trois ministres de #Macron (Belloubet, Buzyn et Pénicaud) et Macron lui-même magouillent mais #CaVous préfère inviter des guignols pour faire diversion. #Journalimz https://t.co/uX4Y1oo5Nh"
146,"Depuis qu'elle a répondu à une itw sur la sélection à l'université, Maryam Pougetoux, est la cible d'une odieuse campagne de harcèlement raciste. Ceux qui rêvent de musulmans invisibles &amp; silencieux n'ont pas supporté de la (sa)voir présidente d'un syndicat étudiant ET voilée. https://t.co/WmXyxB4F9H"
147,"Cette petite à harceler une fille qui avait le cancer dans son école regardez ce que sa mère lui fait...
Justifié oui ou non ? https://t.co/ZEftTIZvC9"
148,J’en ai marre https://t.co/jvypi1qc9x
149,Desfois au mcdo dans les boîtes nuggets je rajoute un nugget en + mdrrrrrrrrrr jme dis ' j'espère il va bien manger celui la ' 😭😭😭😭
150,Ah ouais toi tu crois j’suis l’ONU en fait 😂😂😂😂 https://t.co/T31bZWPeSk
151,My brother is a heavy sleeper https://t.co/hew2mhROV7
152,"Quand on arrive à être d’accord avec ce vieux puant, c’est que la situation est vraiment désespérée. https://t.co/pn5BjGbRFM"
153,do u guys eat ur burgers with or without the peel? https://t.co/UT9g5oPGpt
154,“If I hear Wakanda forever one more damn time....” https://t.co/tp5sXtVtfk
155,bruuuuhhh 😭 https://t.co/5L9lMEa7MZ
156,"Steal His Look
Laiklik Elden Gidiyeah Edition https://t.co/bu16qnKqBF"
157,"Mdr les meufs de 80kg qui vont mettre ça les lettre elles vont s'aplatir comme le ""i"" dans le generique de début des films pixar https://t.co/hHF8Fsp9Pp"
158,Our hotel pool in Vietnam...booking.com VS reality 😂🤣😂 we’ve been done there https://t.co/lElDjxzFwd
159,pourquoi ? vous avez 4h00. https://t.co/gVDsX6NN7Q
160,eurovision rules https://t.co/I8cG3D5tCh
161,He saw 14 million possible futures and this is the only 1 where everyone wins. https://t.co/4fzXpqWjua
162,Alors déjà tu es victime d'agression sexuelle et en plus de ça on étale ton nom partout comme si tu avais envie que ça se sache et tout ça sans jamais dire celui de ton agresseur qui est pourtant celui qu'on devrait pointer du doigt franchement les médias sont dégoûtants
163,So my cat fucking full on just walked in and dunked a fucking dead mouse in my fucking glass of wine and honestly I'm livid https://t.co/Z8AvB5zcUA
164,what I thought savage x was going to be vs. what we actually got https://t.co/UQyiicBsJ3
165,@chxgtl T’es blanche t’as pas à me dire ce qui est raciste pour ma communauté en fait. Donc oui t’es raciste.
166,"Quand mes potes m'annoncent une bonne nouvelle dans leur carrière ou tout simplement dans leur vie personnel jsuis grave heureux pour eux limite j'ai l'impression c moi qui ait réussi, mais y en a içi vous êtes vraiment des sheytanes à jalouser vos ""amis"" j'ai juré"
167,"Vu comment tu t’exprimes, tu vaux pas mieux que ces soit-disant «p**** ». La pudeur c’est dans l’habit et le COMPORTEMENT. T’es là à insulter des meufs de p**** gratuitement cousine mdr. Donc va revoir tout ça et après tu reviendras faire ta donneuse de leçons en carton. https://t.co/zJg0F7kPsg"
168,"Si les gens vous disent que vous êtes trop maquillés, rajoutez en"
169,Les dossiers qu’on raconte sur toi VS les vrais dossiers sur toi https://t.co/tQN79UpOK4
170,Plus tard je vais saucer ma hlel comme ça https://t.co/jlybkjsn9Z
171,«  t’es bien rentrer » «  t’es réveiller » «  fais attention à toi »comment j’aime trop
172,L’orthographe ça me bloque de ouf quand j’parle à qqun vous savez pas vous.. Un gars qui t’écrit à base de « sa va » obligé il est pas très fut fut
